Sample Names,lung_cocci_S13-15588,lung_cocci_S15-7163,lung_cocci_S16-1593,lung_control_S16-1234,lung_control_S16-430,lung_control_S16-455,lung_sarc_ng07-1929,lung_sarc_ng14-2391,lung_sarc_S01-274,lung_sarc_S08-13633,lung_sarc_S08-8308,lung_sarc_S14-1820,lymph_control_LN2,lymph_control_LN4,lymph_control_LN5,lymph_sarc_S01-01562,lymph_sarc_S03-06811,lymph_sarc_S08-11588-2,lymph_sarc_S10-5712,lymph_sarc_S10-8898,lymph_sarc_S11-16399,lymph_sarc_S11-3356,lymph_sarc_S11-5747,lymph_sarc_S12-10867-2,lymph_sarc_S12-11588,lymph_sarc_S15-2130,lymph_sarc_S16-3789,lymph_TB_S07-1722,lymph_TB_S10-2574,lymph_TB_S11-5890,lymph_TB_S13-12712
GeneName,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM,TPM
SLC10A1,26.994295,59.906755,155.400113,25.480384,42.942874,13.384545,1.588242,306.323673,102.715539,118.956764,59.075301,68.099575,92.527662,47.657983,35.854289,126.393039,104.018178,303.528733,160.778633,75.695876,116.408756,104.157226,40.103903,98.32605,47.281701,69.665364,64.170375,101.308234,30.819992,84.738377,116.857497
SLC10A2,20.219665,103.299624,213.258986,31.674511,46.568445,21.901983,224.430856,553.613801,141.083521,138.65741,100.793426,87.405661,127.741215,94.05671,60.855823,181.407866,189.204629,379.218809,232.629605,119.429361,161.050949,118.107792,57.344833,126.806699,48.895735,85.975256,107.005969,108.503653,45.770612,99.378137,159.186428
SLC11A1,120.067288,65.440663,279.936163,97.275943,67.274484,96.125371,418.929454,237.063844,155.516618,100.134491,157.026616,72.037632,112.5655,26.347503,65.75966,148.963224,128.174058,128.711551,145.071301,52.153685,133.926578,107.618645,69.994429,38.991365,80.891585,102.531025,64.336405,146.851967,275.792993,142.952953,165.033421
SLC15A1,37.312577,36.102164,202.101132,35.616228,26.345816,8.891831,1098.819337,309.019694,110.653742,114.313937,74.19939,36.787218,111.386803,34.677963,41.07969,139.370896,128.272653,185.190948,155.140103,58.597715,137.59967,103.00342,37.10548,70.523512,53.737837,90.646933,82.516628,111.692532,27.98021,73.371034,109.692872
SLC15A2,143.30948,142.476182,34.823303,146.68818,145.909091,222.202171,67.561385,74.280005,39.089637,134.641992,72.473823,74.054686,72.489824,83.110873,69.698809,44.576116,59.058662,21.515961,55.096485,42.272839,29.196371,43.949525,42.071618,69.845401,59.52937,52.126084,163.123917,92.641024,57.046219,62.348156,20.752706
SLC16A1,78.689932,122.360864,242.053448,72.992151,97.970985,86.765549,236.648105,319.338943,163.21427,296.63902,147.383741,169.624612,196.842287,194.312833,116.245072,211.595489,205.670065,348.865936,267.024633,115.734784,192.225138,159.330138,131.08729,159.356012,160.643851,233.092114,157.89399,165.985241,101.396939,151.04788,167.915741
SLC16A2,61.701245,79.407194,93.85195,56.451017,55.269816,42.493591,225.163891,505.27137,154.915239,120.462546,99.676882,53.019697,140.117526,34.774829,71.226234,147.552588,155.484992,288.928617,73.542531,86.951449,129.688396,109.506691,38.792093,56.961298,58.295109,74.091164,70.645523,118.969717,72.497976,54.425462,65.963957
SLC16A3,582.826626,309.196152,440.645255,505.032482,373.433814,559.062161,266.824709,232.601466,722.737323,397.275438,512.290454,747.558525,158.681994,228.506468,180.477307,471.81092,393.198572,250.123044,651.330673,489.918143,541.168861,400.895186,773.40564,555.033599,1067.920828,796.070218,259.337973,493.131523,967.363549,539.173759,611.545998
SLC19A1,146.748907,174.713394,41.482022,151.967265,160.814216,178.491803,455.825545,41.555897,74.330449,31.997864,84.654297,136.19915,56.061744,79.042508,42.12477,53.98036,30.071606,40.72664,32.059066,21.22234,44.077102,41.537021,35.418867,52.214523,47.186758,49.33947,83.678834,67.129992,48.944486,75.437824,20.835058
SLC19A2,184.37416,541.093267,231.795421,235.376811,192.074695,205.728885,852.030916,279.828303,152.870551,324.495983,127.387462,105.078893,190.7278,98.318807,179.191055,181.595951,128.371249,276.249568,155.703956,126.818516,109.721845,185.028547,71.399939,91.883998,61.143404,69.501446,127.510604,135.81354,138.982295,146.828184,114.139881
SLC19A3,56.594216,110.766008,180.235337,73.34409,81.212791,59.341271,24.190152,349.924828,69.759968,213.570056,133.883715,86.92541,119.785015,84.854458,66.804741,133.070052,118.21592,243.975627,144.7491,65.98687,128.746577,100.695808,52.003893,65.776737,48.421019,81.877293,78.365892,113.736685,60.554185,74.14608,133.657306
SLC22A1,23.971768,9.39886,95.111708,17.245012,6.203755,11.980572,381.300328,276.481519,49.673908,79.304509,45.778283,10.94972,61.73422,9.686582,19.856523,98.274349,56.889563,61.474174,92.552429,35.485127,69.788744,78.353926,29.328321,26.446317,73.58096,38.930645,66.909861,87.980355,37.084218,43.316467,63.905157
SLC22A2,23.763317,114.191761,190.403382,44.414703,52.611064,19.281233,6.963832,631.612454,122.801599,158.734501,99.778386,80.682148,147.852721,137.743195,70.181153,185.639776,170.077115,402.655838,187.682472,89.700902,161.333494,117.373551,54.533812,137.317414,52.218746,93.679425,93.059497,116.434967,35.497281,77.160148,143.621899
SLC22A3,155.503814,140.631545,70.276484,64.616003,85.080066,182.610125,98.593196,63.217025,40.412671,158.734501,80.188123,74.919138,237.728316,87.566701,278.393281,93.196058,136.653265,52.637261,101.090773,185.759913,86.553112,108.038211,145.142396,103.072825,174.410612,114.415116,237.007014,185.44558,63.895106,82.241006,5.105824
SLC22A6,5.315479,1.141918,3.239377,0.140776,0.322273,1.310375,0,83.018829,16.838613,103.522501,0.203008,0.864452,0.368343,1.937316,0,3.949782,0.591573,3.842136,8.779995,3.179055,0.094182,7.237511,1.030708,0,16.899885,0.245878,52.880374,7.849548,0.751707,2.325138,0.247056
SLC22A7,18.135163,13.966531,210.739471,27.310467,12.890919,9.827813,1.95476,420.765082,66.392245,128.116937,85.973849,21.99549,115.291235,16.079726,72.91444,184.135097,142.963372,240.133491,158.120469,55.848263,144.851672,130.694768,41.884216,48.145859,47.85136,78.516964,60.849787,132.297596,42.262645,88.78584,105.163512
SLC22A8,16.676012,19.763959,141.362813,14.711051,11.843532,6.271081,78.801253,172.173427,58.574318,68.011146,60.090341,20.074487,79.046323,25.185113,31.915141,126.863251,112.004408,213.23854,86.752799,53.786173,94.935296,78.983274,28.859818,55.266021,37.502554,57.125599,46.488241,84.955008,34.829097,59.936901,84.904918
SLC22A9,33.247799,110.678168,268.14843,40.613762,48.582651,23.586751,332.920024,590.242489,181.736744,245.442438,102.722001,82.315001,188.370407,96.478356,74.763428,216.579739,237.023412,350.40279,234.562815,124.240904,178.474589,160.90351,63.62278,115.617872,55.6367,102.449065,100.032733,137.367096,61.556461,105.750739,158.362908
SLC25A13,269.213372,209.93716,325.557389,181.248591,276.268511,200.487385,232.127723,560.586267,325.706885,387.236893,256.297483,209.389385,320.826408,254.563373,234.017569,335.543425,321.125313,564.409758,326.551391,280.444198,297.708801,227.4047,182.81008,270.90522,191.595326,193.833632,253.443928,268.111136,208.306397,233.375002,246.808963
SLC25A4,52.320988,81.16399,270.847911,51.735035,60.023342,31.729796,990.452342,417.325332,208.317697,212.691683,119.267146,97.010678,174.373388,85.823116,102.096294,230.592062,262.362437,343.102732,217.405576,137.730407,184.878955,153.246433,72.80545,107.141489,65.415847,108.51405,110.409572,163.777556,61.389415,87.752445,154.986476
SLC26A2,91.301167,31.710174,60.018457,74.61107,23.8482,47.173502,275.7433,138.147793,135.67111,209.680119,73.996382,32.945211,71.016454,30.706465,80.792737,114.167522,92.186726,84.911202,65.970792,54.645377,62.442561,78.563709,61.655066,36.617977,98.835845,38.193012,86.833393,115.53554,78.094018,58.214576,56.740532
SLC27A4,125.486992,86.522219,265.538932,79.397441,64.454596,50.636636,550.020531,555.473126,234.176996,219.342219,157.940152,88.846413,194.337558,52.113811,116.727417,229.275468,178.161941,201.327919,190.985039,157.148419,203.05605,157.127417,147.484914,83.407615,152.383795,126.872923,123.608912,224.039193,157.440882,141.488977,200.362431
SLC28A1,5.523929,1.229757,2.429533,1.970858,0.402841,1.965563,224.308684,13.108236,40.051844,40.907073,0,1.440753,4.567448,0.484329,0.562735,5.642546,1.478931,0,7.168987,4.2101,1.601091,7.657077,2.998423,0.339055,18.039203,0,44.744932,6.295992,0.334092,6.028137,0
SLC28A2,29.912597,42.338791,214.698709,57.64761,33.03298,11.980572,667.794807,364.334591,82.629479,350.847165,107.188175,61.856314,136.802443,28.96288,45.260011,163.539803,165.344535,296.612888,151.273683,66.588313,151.726946,145.064898,68.588918,86.120057,115.545844,79.910271,74.796259,149.550249,49.946762,82.84382,156.962924
